repo	tracked_risk_paths	tracked_env_count	tracked_secret_marker_count	tracked_age_key_like_count	tracked_browser_profile_count	tracked_pi_count	has_funding_yml	untracked_risk_paths
/home/dracon/Dev/dracon-code	35	0	5	5	0	6	1	0
/home/dracon/Dev/Junk-Runner-bevy	244	1	2	5	0	44	1	0
/home/dracon/Dev/dracon-platform	380	13	27	9	0	51	1	0
/home/dracon/Dev/dracon-utilities	113	0	39	34	0	41	1	2
/home/dracon/Dev/one-mil-girls	285	0	2	2	0	34	1	0
/home/dracon/Dev/ai-auto-repo-rot-scanner-todo-agent	76	1	8	1	0	3	1	0
/home/dracon/Dev/browser-extensions-shared	631	12	59	314	0	0	1	0
/home/dracon/Dev/dracon-ai-lib	35	3	14	1	0	31	1	0
/home/dracon/Dev/pully-fully-pull-based-fleet-reconciler	51	7	23	9	0	17	1	0
/home/dracon/Dev/rust-ai-web-auto	46	2	2	1	0	27	1	0
/home/dracon/.dracon	88	18	20	58	0	0	1	0
/home/dracon/Dev/folder-auto-banner	32	0	0	2	0	25	1	0
/home/dracon/Dev/DraconDev	23	0	1	4	0	13	1	0
/home/dracon/Dev/ai-auto-writer	217	3	4	80	0	5	1	0
/home/dracon/Dev/video-uploader	9	2	2	3	0	0	1	0
/home/dracon/Dev/video-factory	6	0	1	2	0	0	1	0
/home/dracon/Dev/avid	62	2	2	1	0	20	1	0
/home/dracon/Dev/youtube-video-uploader	9	2	2	3	0	0	1	0
/home/dracon/Dev/dracon-libs	4	0	1	3	0	0	1	0
/home/dracon/Dev/kiki-sassy-desktop-announcer	4	2	3	2	0	0	1	0
