path	size_lines	mtime
docs/audit/2026-06-11-full-repo-audit/branch-reconciliation/evidence/approval-log.md	3492	57	2026-06-11 18:32:22.722960765 +0100
docs/audit/2026-06-11-full-repo-audit/branch-reconciliation/evidence/dracon-libs-post-state.md	621	16	2026-06-11 18:33:32.210159505 +0100
docs/audit/2026-06-11-full-repo-audit/branch-reconciliation/evidence/dracon-utilities-public-release-state.md	2047	50	2026-06-11 18:28:16.729686491 +0100
docs/audit/2026-06-11-full-repo-audit/branch-reconciliation/evidence/final-inventory.json	9860	379	2026-06-11 18:34:02.552681999 +0100
docs/audit/2026-06-11-full-repo-audit/branch-reconciliation/evidence/final-inventory.stderr	0	0	2026-06-11 18:34:02.193675820 +0100
docs/audit/2026-06-11-full-repo-audit/branch-reconciliation/evidence/folder-auto-banner-state.md	1037	53	2026-06-11 18:28:16.732686544 +0100
docs/audit/2026-06-11-full-repo-audit/branch-reconciliation/evidence/junk-runner-bevy-state.md	293724	2657	2026-06-11 18:28:16.738686649 +0100
docs/audit/2026-06-11-full-repo-audit/branch-reconciliation/evidence/one-mil-girls-decoded-diff.md	2503	64	2026-06-11 18:28:16.742686718 +0100
docs/audit/2026-06-11-full-repo-audit/branch-reconciliation/evidence/one-mil-girls-post-state.md	621	21	2026-06-11 18:31:14.696783978 +0100
docs/audit/2026-06-11-full-repo-audit/branch-reconciliation/evidence/one-mil-girls-state.md	2121	46	2026-06-11 18:28:16.746686789 +0100
docs/audit/2026-06-11-full-repo-audit/branch-reconciliation/evidence/post-inventory.json	9891	379	2026-06-11 18:32:23.067966725 +0100
docs/audit/2026-06-11-full-repo-audit/branch-reconciliation/evidence/post-inventory.stderr	0	0	2026-06-11 18:32:22.726960834 +0100
docs/audit/2026-06-11-full-repo-audit/branch-reconciliation/evidence/post-merge-state.md	667	30	2026-06-11 18:30:00.524496654 +0100
docs/audit/2026-06-11-full-repo-audit/branch-reconciliation/evidence/pre-inventory.json	9877	379	2026-06-11 18:28:16.750686858 +0100
docs/audit/2026-06-11-full-repo-audit/branch-reconciliation/evidence/pre-inventory.stderr	0	0	2026-06-11 18:28:16.750686858 +0100
docs/audit/2026-06-11-full-repo-audit/branch-reconciliation/evidence/pre-merge-state.md	662	25	2026-06-11 18:27:37.262995137 +0100
docs/audit/2026-06-11-full-repo-audit/branch-reconciliation/REPORT.md	7600	96	2026-06-11 18:34:42.028360976 +0100
docs/audit/2026-06-11-full-repo-audit/cleanup-except-pi/after/inventory.json	12600	472	2026-06-11 12:30:10.225431424 +0100
docs/audit/2026-06-11-full-repo-audit/cleanup-except-pi/after/inventory.tsv	1522	21	2026-06-11 12:30:10.243404370 +0100
docs/audit/2026-06-11-full-repo-audit/cleanup-except-pi/before/inventory.json	12669	473	2026-06-11 12:13:31.982159747 +0100
docs/audit/2026-06-11-full-repo-audit/cleanup-except-pi/before/inventory.tsv	1506	21	2026-06-11 12:13:32.002172473 +0100
docs/audit/2026-06-11-full-repo-audit/cleanup-except-pi/candidates/cleanup-candidates.tsv	368473	2238	2026-06-11 12:13:56.678589671 +0100
docs/audit/2026-06-11-full-repo-audit/cleanup-except-pi/CLEANUP_MANIFEST.md	3147	47	2026-06-11 12:21:16.931165393 +0100
docs/audit/2026-06-11-full-repo-audit/cleanup-except-pi/hygiene.tsv	1241	21	2026-06-11 12:23:53.212827510 +0100
docs/audit/2026-06-11-full-repo-audit/cleanup-except-pi/per-repo/after.ai-auto-repo-rot-scanner-todo-agent.git.txt	1496	19	2026-06-11 12:23:11.057110372 +0100
docs/audit/2026-06-11-full-repo-audit/cleanup-except-pi/per-repo/after.ai-auto-writer.git.txt	1203	20	2026-06-11 12:23:11.096111036 +0100
docs/audit/2026-06-11-full-repo-audit/cleanup-except-pi/per-repo/after.avid.git.txt	1434	20	2026-06-11 12:23:11.129111597 +0100
docs/audit/2026-06-11-full-repo-audit/cleanup-except-pi/per-repo/after.browser-extensions-shared.git.txt	3063	21	2026-06-11 12:23:10.991109248 +0100
docs/audit/2026-06-11-full-repo-audit/cleanup-except-pi/per-repo/after.dracon-ai-lib.git.txt	1557	18	2026-06-11 12:23:11.022109777 +0100
docs/audit/2026-06-11-full-repo-audit/cleanup-except-pi/per-repo/after.dracon-code.git.txt	12914	30	2026-06-11 12:23:10.908107836 +0100
docs/audit/2026-06-11-full-repo-audit/cleanup-except-pi/per-repo/after.DraconDev.git.txt	1327	19	2026-06-11 12:23:11.068110559 +0100
docs/audit/2026-06-11-full-repo-audit/cleanup-except-pi/per-repo/after..dracon.git.txt	1229	19	2026-06-11 12:23:11.014109640 +0100
docs/audit/2026-06-11-full-repo-audit/cleanup-except-pi/per-repo/after.dracon-libs.git.txt	1034	19	2026-06-11 12:23:11.149111938 +0100
docs/audit/2026-06-11-full-repo-audit/cleanup-except-pi/per-repo/after.dracon-platform.git.txt	3622	31	2026-06-11 12:23:10.968108857 +0100
docs/audit/2026-06-11-full-repo-audit/cleanup-except-pi/per-repo/after.dracon-utilities.git.txt	5049	28	2026-06-11 12:23:10.952108585 +0100
docs/audit/2026-06-11-full-repo-audit/cleanup-except-pi/per-repo/after.folder-auto-banner.git.txt	1072	19	2026-06-11 12:23:11.036110015 +0100
docs/audit/2026-06-11-full-repo-audit/cleanup-except-pi/per-repo/after.Junk-Runner-bevy.git.txt	1329	22	2026-06-11 12:23:10.931108228 +0100
docs/audit/2026-06-11-full-repo-audit/cleanup-except-pi/per-repo/after.kiki-sassy-desktop-announcer.git.txt	1216	19	2026-06-11 12:23:11.159112108 +0100
docs/audit/2026-06-11-full-repo-audit/cleanup-except-pi/per-repo/after.one-mil-girls.git.txt	1633	19	2026-06-11 12:23:10.941108398 +0100
docs/audit/2026-06-11-full-repo-audit/cleanup-except-pi/per-repo/after.pully-fully-pull-based-fleet-reconciler.git.txt	1602	19	2026-06-11 12:23:10.920108040 +0100
docs/audit/2026-06-11-full-repo-audit/cleanup-except-pi/per-repo/after.rust-ai-web-auto.git.txt	1609	19	2026-06-11 12:23:11.001109419 +0100
