repo	tracked_risk_paths	tracked_env_count	tracked_secret_marker_count	tracked_age_key_like_count	has_funding_yml	untracked_risk_paths
/home/dracon/Dev/one-mil-girls	285	0	2	2	1	0
/home/dracon/Dev/browser-extensions-shared	638	12	59	314	1	0
/home/dracon/Dev/dracon-utilities	72	0	38	7	1	0
/home/dracon/Dev/pully-fully-pull-based-fleet-reconciler	51	7	23	9	1	0
/home/dracon/Dev/rust-ai-web-auto	46	2	2	1	1	0
/home/dracon/Dev/dracon-platform	380	13	26	9	1	0
/home/dracon/Dev/Junk-Runner-bevy	244	1	2	5	1	0
/home/dracon/.dracon	88	18	20	58	1	0
/home/dracon/Dev/dracon-ai-lib	35	3	14	1	1	0
/home/dracon/Dev/folder-auto-banner	32	0	0	2	1	0
/home/dracon/Dev/dracon-code	35	0	5	5	1	0
/home/dracon/Dev/ai-auto-writer	217	3	4	80	1	0
/home/dracon/Dev/video-uploader	9	2	2	3	1	0
/home/dracon/Dev/ai-auto-repo-rot-scanner-todo-agent	77	1	6	1	1	0
/home/dracon/Dev/DraconDev	23	0	1	4	1	0
/home/dracon/Dev/video-factory	6	0	1	2	1	0
/home/dracon/Dev/avid	62	2	2	1	1	0
/home/dracon/Dev/youtube-video-uploader	9	2	2	3	1	0
/home/dracon/Dev/dracon-libs	4	0	1	3	1	0
/home/dracon/Dev/kiki-sassy-desktop-announcer	4	2	3	2	1	0
