path	bytes	lines	mtime
README.md	7531	232	2026-06-10 23:11:08.654507356 +0100
AGENTS.md	43505	891	2026-06-11 14:47:29.730510566 +0100
AUDIT.md	60033	720	2026-06-09 18:16:37.857305389 +0100
CHANGELOG.md	19364	306	2026-06-09 02:52:19.426671712 +0100
docs/ROADMAP.md	3133	44	2026-06-09 21:14:07.019963403 +0100
docs/ARCHITECTURE.md	5336	120	2026-06-09 21:14:10.897033220 +0100
docs/OPERATIONS.md	4014	162	2026-06-09 02:52:19.434671850 +0100
docs/public-readiness.md	5770	114	2026-06-10 23:10:59.946358345 +0100
docs/public-release-plan.md	8551	286	2026-06-10 23:10:28.686823077 +0100
docs/design/cli-print-style.md	9256	231	2026-06-07 13:00:10.943289975 +0100
docs/design/warden-plaintext-sibling.md	3810	81	2026-06-07 01:51:52.740161622 +0100

---
# workflows
path	bytes	mtime
.github/workflows/ci.yml	6187	2026-06-09 17:25:53.607647488 +0100
.github/workflows/cla.yml	1362	2026-05-16 09:11:40.323696544 +0100
